employee_id,first_name,last_name,phone
1,Cindy,Wade,+222 656-486-3727
2,David,Thornton,+882 (369)732-4858x56864
3,Lauren,Martinez,+250 8878764159
4,Kenneth,White,+64 4924992211
5,James,Torres,+267 +1-471-316-0190x308
6,Tracy,Foster,+237 6225761379
7,Miranda,Harris,+370 001-563-522-4308x77248
8,Destiny,Nguyen,+226 284.891.0715
9,Phillip,Williams,+423 4943292679
10,Kelli,Bowman,+379 (843)240-1818x77648
11,Gregory,Pittman,+264 9864625899
12,Natasha,Hoover,+234 649.763.1540x547
13,Gregory,Jackson,+243 (871)628-0556
14,David,Clark,+882 805-740-2877x32513
15,Sarah,Shepherd,+267 721-710-7210x8468
16,Michael,Quinn,+972 826.201.6869
17,Logan,Lopez,+64 +1-264-270-6434
18,Donald,Hunt,+47 79 (579)967-8837x893
19,Matthew,Meyers,+378 +1-720-722-2062x240
20,Thomas,Calderon,+64 +1-380-200-3211
