Name,Date
Gina Maldonado,"October 31, 1992"
Tony Henderson,"November 15, 1991"
Jonathan Parrish,"June 12, 1984"
Jonathan Parrish,"June 12, 1984"
Mrs. Samantha Johnson,"July 20, 1984"
Mrs. Samantha Johnson,"July 20, 1984"
Joseph Harris,"March 3, 1982"
Aaron Kaufman,"November 14, 1989"
Tony Henderson,"November 7, 1988"
Tony Henderson,"November 7, 1988"
Tony Henderson,"November 7, 1988"
Mrs. Samantha Johnson,"July 23, 1991"
Kimberly Stewart,"December 12, 1987"
Daniel Jackson,"October 2, 1981"
Daniel Jackson,"October 2, 1981"
Joseph Harris,"April 3, 1991"
Joseph Harris,"April 3, 1991"
Mrs. Samantha Johnson,"December 23, 1982"
Mrs. Samantha Johnson,"December 12, 1992"
Tony Henderson,"October 4, 1990"
Yesenia Smith,"August 10, 1983"
Yesenia Smith,"August 10, 1983"
Joseph Harris,"March 1, 1989"
Amanda Brown,"August 8, 1984"
Aaron Kaufman,"October 24, 1988"
Aaron Kaufman,"July 21, 1990"
Gina Maldonado,"April 7, 1989"
Austin Hester,"December 10, 1992"
Austin Hester,"December 10, 1992"
Daniel Jackson,"December 13, 1986"
